record_timestamp,client_timestamp,button,state,x,y,s,θ,c,∆c,v_x,v_y,t_v,t_a,t_j,ω
0.0,0.0,NoButton,Move,757.0,669.0,1,0.0,1,1,1,1,1.4142135623730951,1,1,0.0
0.111999988556,0.0939999998081,NoButton,Move,756.0,669.0,1.0,6.28,5.494601836602552,4.494601836602552,-8.928572340880194,0.0,8.928572340880194,67.09249594922878,8.928572340880194,5.494601836602552
0.113000154495,0.108999999939,NoButton,Move,750.0,669.0,6.0,6.4910933332227465,1.0466666666666666,-0.7413225283226476,-5999.004531187099,0.0,5999.004531187099,5989082.136545562,66081.53044614807,11.774601836602553
0.218000173569,0.218999999808,NoButton,Move,596.0,636.0,157.4960316960399,6.747378934967465,0.0013403089014340816,-0.00663715997481552,-1466.6664002362388,-314.2856571934798,1499.9619341501518,-42848.01695003687,57038228.153356664,16.486987317829993
0.323000192642,0.32799999998,NoButton,Move,489.0,582.0,119.85407794480753,7.8130783743280325,0.002138313573800443,6.6581353429946745e-06,-1019.0474339400793,-514.2856208669559,1141.4672016533677,-3414.2349274007756,-57446943.40771476,22.76574995215475
0.427000045776,0.436999999918,NoButton,Move,487.0,529.0,53.03772242470448,7.8500000000000005,0.020093235354770336,0.0003385311615984222,-19.230796387982135,-509.6161042815266,509.978820415903,-6072.012240477062,379171.51644269255,22.765767768669008
0.546000003815,0.436999999918,NoButton,Move,487.0,525.0,4.0,13.809045772398255,0.009230406417991943,-0.002715707234194598,0.0,-33.613457230708214,33.613457230708214,-4003.0716904040823,-22334.271010459084,22.793546727114794
0.547000169754,0.545999999857,NoButton,Move,481.0,507.0,18.973665961010276,19.380419500270584,0.31406928869959705,0.016066419789830304,-5999.004531187182,-17997.013593561547,18970.51801222211,18933762.7053421,2068597.2891074507,29.04386107458199
0.648000001907,0.561999999918,NoButton,Move,476.0,504.0,5.830951894845301,25.394909841480672,0.9554827116302496,0.11000149452402054,-49.50503276506172,-29.703019659037032,57.732292921163065,-187255.61534251698,187502943.0578117,29.077459409466528
0.649000167847,0.655000000028,NoButton,Move,437.0,493.0,40.52159917870962,25.39829965900511,0.1484267764133591,-0.01991668521416411,-38993.52941373049,-10998.17496284706,40514.87614016438,40450431.50264112,-19117845905.33577,35.32389643398377
